id,marital-status,occupation,relationship,race,gender
1, Never-married, Adm-clerical, Not-in-family, White, Male
2, Married-civ-spouse, Exec-managerial, Husband, White, Male
3, Divorced, Handlers-cleaners, Not-in-family, White, Male
4, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male
5, Married-civ-spouse, Prof-specialty, Wife, Black, Female
6, Married-civ-spouse, Exec-managerial, Wife, White, Female
7, Married-spouse-absent, Other-service, Not-in-family, Black, Female
8, Married-civ-spouse, Exec-managerial, Husband, White, Male
9, Never-married, Prof-specialty, Not-in-family, White, Female
10, Married-civ-spouse, Exec-managerial, Husband, White, Male
11, Married-civ-spouse, Exec-managerial, Husband, Black, Male
12, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male
13, Never-married, Adm-clerical, Own-child, White, Female
14, Never-married, Sales, Not-in-family, Black, Male
15, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male
16, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male
17, Never-married, Farming-fishing, Own-child, White, Male
18, Never-married, Machine-op-inspct, Unmarried, White, Male
19, Married-civ-spouse, Sales, Husband, White, Male
20, Divorced, Exec-managerial, Unmarried, White, Female
21, Married-civ-spouse, Prof-specialty, Husband, White, Male
22, Separated, Other-service, Unmarried, Black, Female
23, Married-civ-spouse, Farming-fishing, Husband, Black, Male
24, Married-civ-spouse, Transport-moving, Husband, White, Male
25, Divorced, Tech-support, Unmarried, White, Female
26, Married-civ-spouse, Tech-support, Husband, White, Male
27, Never-married, Craft-repair, Own-child, White, Male
28, Married-civ-spouse, ?, Husband, Asian-Pac-Islander, Male
29, Divorced, Exec-managerial, Not-in-family, White, Male
30, Married-civ-spouse, Craft-repair, Husband, White, Male
31, Never-married, Protective-serv, Not-in-family, White, Male
32, Never-married, Sales, Own-child, Black, Male
33, Divorced, Exec-managerial, Own-child, White, Male
34, Married-civ-spouse, Adm-clerical, Own-child, White, Male
35, Married-civ-spouse, Other-service, Husband, Black, Male
36, Never-married, Machine-op-inspct, Unmarried, White, Male
37, Never-married, Machine-op-inspct, Own-child, White, Male
38, Married-AF-spouse, Adm-clerical, Wife, White, Female
39, Married-civ-spouse, Sales, Husband, White, Male
40, Married-civ-spouse, Prof-specialty, Husband, White, Male
41, Married-civ-spouse, Machine-op-inspct, Husband, White, Male
42, Married-civ-spouse, Prof-specialty, Husband, White, Male
43, Married-civ-spouse, Tech-support, Husband, White, Male
44, Separated, Adm-clerical, Unmarried, White, Female
45, Never-married, Handlers-cleaners, Not-in-family, White, Male
46, Married-civ-spouse, Prof-specialty, Husband, Black, Male
